id,Name,Type,Network_Device,Fiber_Switch,Blade_Chassis,Virtual_Host,In_Service,Service_Level,Serial_no,Asset_no,UUID,Profile_to_auto_assign_asset_no,Hardware,Customer,Device_Virtual_Host,Blade_slot_no,Blade_slot_no,Device_Host_Chassis,Notes,Device_Subtype,Virtual_Subtype,Additional_Location_Info,Building,Room,Rack,First_added,Last_updated,Storage_Room,live_id,Discovery_spec
288,TXARL1-MPC1,physical,FALSE,FALSE,FALSE,FALSE,TRUE,Production,NS4150191005,34000803B9B304000000036E,,None,Hardware_1,None,None,,,None,,None,1,,northpark,2092,rack_2,9/3/2016 20:11:15,9/14/2016 16:38:27,None,None,None
289,TXARL1-MSA1,physical,FALSE,FALSE,FALSE,FALSE,TRUE,Production,SN4150198005,34000803B9B3NH4000000036E,,None,Hardware_1,None,None,,,None,,None,1,,northpark,2092,rack_2,9/3/2016 20:11:15,9/14/2016 16:38:27,None,None,None
290,TXARL1-MVD2,physical,FALSE,FALSE,FALSE,FALSE,TRUE,Production,FGE18520QV0,,,None,Hardware_1,None,None,,,None,,None,1,,northpark,2092,rack_2,9/3/2016 20:11:16,9/14/2016 16:38:27,None,None,None
291,TXARL1-pases001,physical,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ50905WQ,34000803B9B30400000002ED,,None,Hardware_1,None,None,,,None,,None,1,,northpark,2092,rack_3,9/3/2016 20:11:16,9/14/2016 16:38:27,None,None,None
292,TXARL1-pba001,physical,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ50905VZ,34000803B9B30400000002EA,,None,Hardware_1,None,None,,,None,,None,1,,northpark,1092,Rack_1,9/3/2016 20:11:16,9/14/2016 16:38:27,None,None,None
293,TXARL1-pchapxy01,virtual,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ50905XR,34000803B9B3040000000256,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:16,9/14/2016 16:38:27,None,None,None
294,TXARL1-pcmon001,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ50905XL,34000803B9B30400000002EE,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:16,9/14/2016 16:38:27,None,None,None
295,TXARL1-pcmon002,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ50905XD,34000803B9B3040000000257,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:16,9/14/2016 16:38:27,None,None,None
296,TXARL1-pcmon003,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ50802G3,34000803B9B3040000000258,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:16,9/14/2016 16:38:28,None,None,None
297,TXARL1-pcob001,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ50905VP,34000803B9B30400000002E9,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:16,9/14/2016 16:38:28,None,None,None
